Nombre
Afrikáans
Albanés
Amárico
Árabe
Armenio
Azerí
Bengalí
Bielorruso
Bosnio
Búlgaro
Catalán
Checo
Chino (Simplificado)
Chino (Tradicional)
Cingalés
Coreano
Croata
Danés
Eslovaco
Esloveno
Español
Esperanto
Estonio
Euskera
Filipino
Finlandés
Francés
Frisón
Gaélico Escocés
Gallego
Galés
Georgiano
Griego
Gujarati
Haitiano
Hausa
Hebreo
Hindi
Hmong
Holandés
Húngaro
Igbo
Indonesio
Inglés
Irlandés
Islandés
Italiano
Japonés
Javanés
Kannada
Kazajo
Kirguís
Kurdo
Laosiano
Latín
Letón
Lituano
Luxemburgués
Macedonio
Malayo
Malgache
Maltés
Maorí
Maratí
Mongol
Nepalí
Noruego
Osetio
Pastún
Persa
Polaco
Portugués
Rumano
Ruso
Serbio
Sesotho
Shona
Somalí
Sundanés
Sueco
Swahili
Tagalo
Tailandés
Tamil
Telugú
Tibetano
Tigrinya
Turco
Ucraniano
Urdu
Uzbeco
Vietnamita
Xhosa
Yidis
Yoruba
Zulú
